MSI Type,Institution,,City,State/Territory,Type
ANNH,University of Alaska Fairbanks,,Fairbanks,AK,Pub 4yr
ANNH,University of Alaska Southeast,,Juneau,AK,Pub 4yr
ANNH & NASNTI,Alaska Christian College,,Soldotna,AK,Pri 2yr
NASNTI,Alaska Pacific University,,Anchorage,AK,Pri 4yr
TCU,Ilisagvik College,,Barrow,AK,Pub 4yr
HBCU,Alabama Agricultural & Mechanical University,,Normal,AL,Pub 4yr
HBCU,Alabama State University,,Montgomery,AL,Pub 4yr
HBCU,Bishop State Community College,,Mobile,AL,Pub 2yr
HBCU,Concordia College Alabama,,Selma,AL,Pri 4yr
HBCU,Gadsden State Community College,,Gadsden,AL,Pub 2yr
HBCU,H. Councill Trenholm State Community College,,Montgomery,AL,Pub 2yr
HBCU,J. F. Drake State Community and Technical College,,Huntsville,AL,Pub 2yr
HBCU,Lawson State Community College,,Birmingham,AL,Pub 2yr
HBCU,Miles College,,Fairfield,AL,Pri 4yr
HBCU,Oakwood University,,Huntsville,AL,Pri 4yr
HBCU,Shelton State Community College,,Tuscaloosa,AL,Pub 2yr
HBCU,Stillman College,,Tuscaloosa,AL,Pri 4yr
HBCU,Talladega College,,Talladega,AL,Pri 4yr
HBCU,Tuskegee University,,Tuskegee,AL,Pri 4yr
PBI,Chattahoochee Valley Community College,,Phenix City,AL,Pub 2yr
PBI,Faulkner University,,Montgomery,AL,Pri 4yr
PBI,George Corley Wallace State Community College - Selma,,Selma,AL,Pub 2yr
PBI,Herzing University - Birmingham,,Birmingham,AL,Pri 4yr
PBI,Remington College - Mobile Campus,,Mobile,AL,Pri 4yr
PBI,Selma University,,Selma,AL,Pri 4yr
PBI,University of West Alabama,,Livingston,AL,Pub 4yr
HBCU,Arkansas Baptist College,,Little Rock,AR,Pri 4yr
HBCU,Philander Smith College,,Little Rock,AR,Pri 4yr
HBCU,Shorter College,,N Little Rock,AR,Pri 2yr
HBCU,University of Arkansas at Pine Bluff,,Pine Bluff,AR,Pub 4yr
HSI,Cossatot Community College of the University of Arkansas,,De Queen,AR,Pub 2yr
PBI,Arkansas State University Mid-South,,West Memphis,AR,Pub 2yr
PBI,Southeast Arkansas College,,Pine Bluff,AR,Pub 2yr
AANAPISI & ANNH,American Samoa Community College,,PagoPago,AS,Pub 4yr
ANNH & NASNTI,CollegeAmerica - Flagstaff,,Flagstaff,AZ,Pri 4yr
HSI,Arizona State University,,Phoenix,AZ,Pub 4yr
HSI,Arizona Western College,,Yuma,AZ,Pub 2yr
HSI,Central Arizona College,,Coolidge,AZ,Pub 2yr
HSI,CollegeAmerica - Phoenix,,Phoenix,AZ,Pri 4yr
HSI,Estrella Mountain Community College,,Avondale,AZ,Pub 2yr
HSI,GateWay Community College,,Phoenix,AZ,Pub 2yr
HSI,Glendale Community College,,Glendale,AZ,Pub 2yr
HSI,Mesa Community College,,Mesa,AZ,Pub 2yr
HSI,Phoenix College,,Phoenix,AZ,Pub 2yr
HSI,Pima County Community College,,Tucson,AZ,Pub 2yr
HSI,South Mountain Community College,,Phoenix,AZ,Pub 2yr
HSI,University of Arizona (The),,Sierra Vista,AZ,Pub 4yr
HSI,University of Arizona (The),,Tucson,AZ,Pub 4yr
NASNTI,Northland Pioneer College,,Holbrook,AZ,Pub 2yr
TCU,Dine College,,Tsaile,AZ,Pub 4yr
TCU,Tohono O'odham Community College,,Sells,AZ,Pub 2yr
AANAPISI,American River College,,Sacramento,CA,Pub 2yr
AANAPISI,Bethesda University,,Anaheim,CA,Pri 4yr
AANAPISI,City College of San Francisco,,San Francisco,CA,Pub 2yr
AANAPISI,Coastline Community College,,Fountain Valley,CA,Pub 2yr
AANAPISI,Coleman University,,San Diego,CA,Pri 4yr
AANAPISI,College of Alameda,,Alameda,CA,Pub 2yr
AANAPISI,Evergreen Valley College,,San Jose,CA,Pub 2yr
AANAPISI,Folsom Lake College,,Folsom,CA,Pub 2yr
AANAPISI,Grace Mission University,,Fullerton,CA,Pri 4yr
AANAPISI,Homestead Schools,,Torrance,CA,Pri 4yr
AANAPISI,Irvine Valley College,,Irvine,CA,Pub 2yr
AANAPISI,Laney College,,Oakland,CA,Pub 2yr
AANAPISI,Otis College of Art & Design,,Los Angeles,CA,Pri 4yr
AANAPISI,Palo Alto University,,Palo Alto,CA,Pri 4yr
AANAPISI,Presbyterian Theological Seminary in America,,Santa Fe Springs,CA,Pri 4yr
AANAPISI,"University of California, Davis",,Davis,CA,Pub 4yr
AANAPISI,University of San Francisco,,San Francisco,CA,Pri 4yr
AANAPISI,University of the Pacific,,Stockton,CA,Pri 4yr
AANAPISI & HSI,Azusa Pacific University,,Azusa,CA,Pri 4yr
AANAPISI & HSI,Berkeley City College,,Berkeley,CA,Pub 2yr
AANAPISI & HSI,California College San Diego,,San Diego,CA,Pri 4yr
AANAPISI & HSI,"California State Polytechnic University, Pomona",,Pomona,CA,Pub 4yr
AANAPISI & HSI,California State University - Sacramento,,Sacramento,CA,Pub 4yr
AANAPISI & HSI,"California State University, East Bay",,Hayward,CA,Pub 4yr
AANAPISI & HSI,"California State University, Los Angeles",,Los Angeles,CA,Pub 4yr
AANAPISI & HSI,"California State University, Stanislaus",,Turlock,CA,Pub 4yr
AANAPISI & HSI,Casa Loma College,,Van Nuys,CA,Pri 2yr
AANAPISI & HSI,Clovis Community College,,Fresno,CA,Pub 2yr
AANAPISI & HSI,College of San Mateo,,San Mateo,CA,Pub 2yr
AANAPISI & HSI,Contra Costa College,,San Pablo,CA,Pub 2yr
AANAPISI & HSI,Cosumnes River College,,Sacramento,CA,Pub 2yr
AANAPISI & HSI,Cypress College,,Cypress,CA,Pub 4yr
AANAPISI & HSI,El Camino College,,Torrance,CA,Pub 2yr
AANAPISI & HSI,Golden West College,,Huntington Beach,CA,Pub 2yr
AANAPISI & HSI,Holy Names University,,Oakland,CA,Pri 4yr
AANAPISI & HSI,Humphreys University,,Stockton,CA,Pri 4yr
AANAPISI & HSI,Long Beach City College,,Long Beach,CA,Pub 2yr
AANAPISI & HSI,Los Angeles City College,,Los Angeles,CA,Pub 2yr
AANAPISI & HSI,Los Medanos College,,Pittsburg,CA,Pub 2yr
AANAPISI & HSI,Merritt College,,Oakland,CA,Pub 2yr
AANAPISI & HSI,Mission College,,Santa Clara,CA,Pub 2yr
AANAPISI & HSI,Mount Saint Mary's University,,Los Angeles,CA,Pri 4yr
AANAPISI & HSI,Mount San Antonio College,,Walnut,CA,Pub 2yr
AANAPISI & HSI,National University,,La Jolla,CA,Pri 4yr
AANAPISI & HSI,Orange Coast College,,Costa Mesa,CA,Pub 2yr
AANAPISI & HSI,Pacific Union College,,Angwin,CA,Pri 4yr
AANAPISI & HSI,Saint Mary's College of California,,Moraga,CA,Pri 4yr
AANAPISI & HSI,San Diego State University,,San Diego,CA,Pub 4yr
AANAPISI & HSI,San Francisco State University,,San Francisco,CA,Pub 4yr
AANAPISI & HSI,San Joaquin Delta College,,Stockton,CA,Pub 2yr
AANAPISI & HSI,San Jose State University,,San Jose,CA,Pub 4yr
AANAPISI & HSI,Solano Community College,,Fairfield,CA,Pub 4yr
AANAPISI & HSI,"University of California, Irvine",,Irvine,CA,Pub 4yr
AANAPISI & HSI,"University of California, Merced",,Merced,CA,Pub 4yr
AANAPISI & HSI,"University of California, Riverside",,Riverside,CA,Pub 4yr
AANAPISI & HSI,Woodland Community College,,Woodland,CA,Pub 2yr
AANAPISI & HSI,Yuba College,,Marysville,CA,Pub 2yr
HSI,Allan Hancock College,,Santa Maria,CA,Pub 2yr
HSI,Antelope Valley College,,Lancaster,CA,Pub 4yr
HSI,Azusa Pacific University College,,San Dimas,CA,Pri 4yr
HSI,Bakersfield College,,Bakersfield,CA,Pub 4yr
HSI,Butte College,,Oroville,CA,Pub 2yr
HSI,Cabrillo College,,Aptos,CA,Pub 2yr
HSI,California Baptist University,,Riverside,CA,Pri 4yr
HSI,California College San Diego,,San Marcos,CA,Pri 4yr
HSI,California Lutheran University,,Thousand Oaks,CA,Pri 4yr
HSI,California State University Channel Islands,,Camarillo,CA,Pub 4yr
HSI,"California State University, Bakersfield",,Bakersfield,CA,Pub 4yr
HSI,"California State University, Chico",,Chico,CA,Pub 4yr
HSI,"California State University, Dominguez Hills",,Carson,CA,Pub 4yr
HSI,"California State University, Fresno",,Fresno,CA,Pub 4yr
HSI,"California State University, Fullerton",,Fullerton,CA,Pub 4yr
HSI,"California State University, Long Beach",,Long Beach,CA,Pub 4yr
HSI,"California State University, Monterey Bay",,Seaside,CA,Pub 4yr
HSI,"California State University, Northridge",,Northridge,CA,Pub 4yr
HSI,"California State University, San Bernardino",,San Bernardino,CA,Pub 4yr
HSI,"California State University, San Marcos",,San Marcos,CA,Pub 4yr
HSI,Canada College,,Redwood City,CA,Pub 2yr
HSI,Cerritos Community College,,Norwalk,CA,Pub 2yr
HSI,Cerro Coso Community College,,Ridgecrest,CA,Pub 2yr
HSI,Chabot College,,Hayward,CA,Pub 2yr
HSI,Chaffey Community College,,Rancho Cucamonga,CA,Pub 2yr
HSI,Citrus Community College,,Glendora,CA,Pub 2yr
HSI,College of the Canyons,,Santa Clarita,CA,Pub 2yr
HSI,College of the Desert,,Palm Desert,CA,Pub 2yr
HSI,College of the Sequoias,,Visalia,CA,Pub 2yr
HSI,Copper Mountain College,,Joshua Tree,CA,Pub 2yr
HSI,Cuesta College,,San Luis Obispo,CA,Pub 2yr
HSI,Cuyamaca College,,El Cajon,CA,Pub 2yr
HSI,Diablo Valley College,,Pleasant Hill,CA,Pub 2yr
HSI,East Los Angeles College,,Monterey Park,CA,Pub 2yr
HSI,East San Gabriel Valley ROP and Technical Center,,West Covina,CA,Pub 2yr
HSI,Fresno City College,,Fresno,CA,Pub 2yr
HSI,Fresno Pacific University,,Fresno,CA,Pri 4yr
HSI,Gavilan College,,Gilroy,CA,Pub 2yr
HSI,Glendale Community College,,Glendale,CA,Pub 2yr
HSI,Grossmont College,,El Cajon,CA,Pub 2yr
HSI,Hartnell Community College,,Salinas,CA,Pub 2yr
HSI,Hope International University,,Fullerton,CA,Pri 4yr
HSI,Humboldt State University,,Arcata,CA,Pub 4yr
HSI,Imperial Valley College,,Imperial,CA,Pub 2yr
HSI,John F. Kennedy University,,Pleasant Hill,CA,Pri 4yr
HSI,La Sierra University,,Riverside,CA,Pri 4yr
HSI,Lake Tahoe Community College,,South Lake Tahoe,CA,Pub 2yr
HSI,Las Positas College,,Livermore,CA,Pub 2yr
HSI,Life Pacific College,,San Dimas,CA,Pri 4yr
HSI,Los Angeles Harbor College,,Wilmington,CA,Pub 2yr
HSI,Los Angeles Mission College,,Sylmar,CA,Pub 2yr
HSI,Los Angeles ORT College - Van Nuys Campus,,Van Nuys,CA,Pri 2yr
HSI,Los Angeles Pierce College,,Woodland Hills,CA,Pub 2yr
HSI,Los Angeles Trade - Technical College,,Los Angeles,CA,Pub 2yr
HSI,Los Angeles Valley College,,Valley Glen,CA,Pub 2yr
HSI,Marymount California University,,Rancho Palos Verdes,CA,Pri 4yr
HSI,Mendocino College,,Ukiah,CA,Pub 2yr
HSI,Mills College,,Oakland,CA,Pri 4yr
HSI,Modesto Junior College,,Modesto,CA,Pub 4yr
HSI,Monterey Peninsula College,,Monterey,CA,Pub 2yr
HSI,Moorpark College,,Moorpark,CA,Pub 2yr
HSI,Moreno Valley College,,Moreno Valley,CA,Pub 2yr
HSI,Mt. San Jacinto College,,San Jacinto,CA,Pub 2yr
HSI,Napa Valley College,,Napa,CA,Pub 2yr
HSI,Norco College,,Norco,CA,Pub 2yr
HSI,Notre Dame de Namur University,,Belmont,CA,Pri 4yr
HSI,Oxnard College,,Oxnard,CA,Pub 2yr
HSI,Palomar College,,San Marcos,CA,Pub 2yr
HSI,Pasadena City College,,Pasadena,CA,Pub 2yr
HSI,Porterville College,,Porterville,CA,Pub 2yr
HSI,Reedley College,,Reedley,CA,Pub 2yr
HSI,Rio Hondo Community College,,Whittier,CA,Pub 4yr
HSI,Riverside City College,,Riverside,CA,Pub 2yr
HSI,Sacramento City College,,Sacramento,CA,Pub 2yr
HSI,Saddleback College,,Mission Viejo,CA,Pub 2yr
HSI,San Bernardino Valley College,,San Bernardino,CA,Pub 2yr
HSI,San Diego Christian College,,Santee,CA,Pri 4yr
HSI,San Diego City College,,San Diego,CA,Pub 2yr
HSI,San Diego Mesa College,,San Diego,CA,Pub 4yr
HSI,San Jose City College,,San Jose,CA,Pub 2yr
HSI,Santa Ana College,,Santa Ana,CA,Pub 4yr
HSI,Santa Barbara City College,,Santa Barbara,CA,Pub 2yr
HSI,Santa Monica College,,Santa Monica,CA,Pub 4yr
HSI,Santa Rosa Junior College,,Santa Rosa,CA,Pub 2yr
HSI,Santiago Canyon College,,Orange,CA,Pub 2yr
HSI,Sierra College,,Rocklin,CA,Pub 2yr
HSI,Skyline College,,San Bruno,CA,Pub 4yr
HSI,Sonoma State University,,Rohnert Park,CA,Pub 4yr
HSI,Southwestern Community College District,,Chula Vista,CA,Pub 2yr
HSI,Taft College,,Taft,CA,Pub 2yr
HSI,"University of California, Santa Barbara",,Santa Barbara,CA,Pub 4yr
