,Unnamed: 0.1,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022,full_name,gender
0,282,282,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Surgery, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,ur.014370210717.09,Molly J,Douglas,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Molly J Douglas,female
2,284,284,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Program in Applied Mathematics, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,,Brian W,Bell,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Brian W Bell,male
3,285,285,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Program in Applied Mathematics, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,,Adrienne,Kinney,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Adrienne Kinney,female
4,286,286,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Program in Applied Mathematics, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,,Sarah A,Pungitore,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Sarah A Pungitore,female
5,287,287,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Program in Applied Mathematics, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,ur.014424273403.63,Brian P,Toner,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Brian P Toner,male
6,596,596,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Computer Science, Rutgers University, Camden, NJ, United States",New Jersey,US-NJ,pub.1148895293,,Iman,Dehzangi,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Iman Dehzangi,male
8,687,687,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Surgery, University of Minnesota, Minneapolis, MN",Minnesota,US-MN,pub.1148869195,ur.011742517577.06,Emma K.,Jones,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Emma K. Jones,female
9,688,688,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Surgery, University of Minnesota, Minneapolis, MN",Minnesota,US-MN,pub.1148869195,ur.01045103044.18,Christopher J.,Tignanelli,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Christopher J. Tignanelli,male
13,1287,1287,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Mechanical and Industrial Engineering, University of Illinois at Chicago, Chicago, IL, 60607, USA",Illinois,US-IL,pub.1139220869,ur.014332254203.03,Julian,Theis,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Julian Theis,male
14,1288,1288,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Departments of Medicine, Pharmacy Practice, Pharmacy Systems, Outcomes and Policy, University of Illinois at Chicago, Chicago, IL, 60607, USA",Illinois,US-IL,pub.1139220869,ur.0625026752.00,William L.,Galanter,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,William L. Galanter,male
15,1289,1289,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Biomedical, and Health Information Sciences, University of Illinois at Chicago, Chicago, IL, 60607, USA",Illinois,US-IL,pub.1139220869,ur.01065161445.37,Andrew D.,Boyd,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Andrew D. Boyd,male
16,1290,1290,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Mechanical and Industrial Engineering, University of Illinois at Chicago, Chicago, IL, 60607, USA",Illinois,US-IL,pub.1139220869,ur.01330452214.54,Houshang,Darabi,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Houshang Darabi,male
17,1301,1301,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"Penn State Dickinson Law, Carlisle, PA.",Pennsylvania,US-PA,pub.1144677055,ur.010046731131.30,Sara,Gerke,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Sara Gerke,female
18,1343,1343,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Biomedical Engineering, Rutgers University, New Brunswick, NJ, 08901, USA",New Jersey,US-NJ,pub.1148386632,ur.014432152544.43,John K-J.,Li,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,John K-J. Li,male
19,2347,2347,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"College of Information Sciences and Technology, Pennsylvania State University, 16802, University Park, PA, USA",Pennsylvania,US-PA,pub.1138046818,,Ian,Hoaglund,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Ian Hoaglund,male
20,2541,2541,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Biostatistics, School of Public Health, University of Minnesota, Minneapolis, Minnesota, USA.",Minnesota,US-MN,pub.1134935436,ur.011323117130.08,Daniel,Whitford,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Daniel Whitford,male
21,2741,2741,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Computer Science, University of California Davis, Davis, CA.",California,US-CA,pub.1134546919,ur.010301062757.06,Gregory B.,Rehm,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Gregory B. Rehm,male
22,2742,2742,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Internal Medicine, Division of Pulmonary, Critical Care, and Sleep Medicine, University of California Davis, Sacramento, CA.",California,US-CA,pub.1134546919,ur.0745064106.21,Irene,Cortés-Puch,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Irene Cortés-Puch,female
23,2743,2743,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Internal Medicine, Division of Pulmonary, Critical Care, and Sleep Medicine, University of California Davis, Sacramento, CA.",California,US-CA,pub.1134546919,ur.015431663717.61,Brooks T.,Kuhn,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Brooks T. Kuhn,male
24,2744,2744,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Respiratory Care, University of California Davis Health, Sacramento, CA.",California,US-CA,pub.1134546919,ur.014064345357.87,Jimmy,Nguyen,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Jimmy Nguyen,male
25,2745,2745,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Internal Medicine, Division of Pulmonary, Critical Care, and Sleep Medicine, University of California Davis, Sacramento, CA.",California,US-CA,pub.1134546919,ur.011334700147.19,Sarina A.,Fazio,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Sarina A. Fazio,female
26,2747,2747,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Division of Informatics, Department of Public Health Sciences, University of California Davis, Davis, CA.",California,US-CA,pub.1134546919,ur.016316720437.53,Nicholas R.,Anderson,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Nicholas R. Anderson,male
