controlUnion,,,
,Institution,isMinority_Union,MSI_Type
0,Not Minority,7750,No MSI Type
1,University of Washington - Seattle,66,AANAPISI
2,University of Minnesota - Twin Cities,48,AANAPISI
3,The University of Texas at Austin,35,AANAPISI
4,"University of California, Irvine",10,AANAPISI & HSI
5,University of Illinois at Chicago,7,AANAPISI & HSI
6,University of Connecticut-Hartford Campus,7,AANAPISI
7,Texas A&M University-Central Texas,7,HSI
8,University of Arizona (The),6,HSI
9,University of Texas at Arlington,6,HSI
10,"Rutgers, the State University of New Jersey",5,AANAPISI & HSI
11,Loma Linda University,4,AANAPISI
12,University of Houston,4,AANAPISI & HSI
13,Pennsylvania State University - Penn State Abington,4,AANAPISI
14,Florida International University,4,HSI
15,St. John's University-New York,2,AANAPISI
16,Winston-Salem State University,2,HBCU
17,Arizona State University,2,HSI
18,"University of California, Davis",2,AANAPISI
19,"University of California, Santa Cruz",1,HSI
20,Howard University,1,HBCU
21,Georgia State University,1,AANAPISI & PBI
22,"University of California, Riverside",1,AANAPISI & HSI
23,University of Central Florida,1,HSI
24,CUNY Borough of Manhattan Community College,1,HSI
25,"California State University, Northridge",1,HSI
26,University of New Mexico,1,HSI
27,"University of California, Santa Barbara",1,HSI
