,Unnamed: 0.1,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,year,gender,gender_ints,income_class,income_class_num,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022,full_name
0,230,230,Tempe,5317058.0,United States,US,grid.215654.1,Arizona State University,"Fulton Schools of Engineering, Arizona State University, AZ, USA",Arizona,US-AZ,pub.1154886659,,Tianyi,Zhang,2022,male,0.0,High income,4.0,Arizona State University,Not Minority,Pub 4yr,Not Minority,HSI,Not Minority,Tianyi Zhang
1,704,704,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","IFM Lab, Department of Computer Science, University of California, Davis, CA, USA",California,US-CA,pub.1154178603,ur.016015417757.90,Jiawei,Zhang,2022,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Jiawei Zhang
2,707,707,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Computer Science Department, University of Illinois at Chicago, Chicago, USA",Illinois,US-IL,pub.1154178603,ur.011016356115.95,Philip S.,Yu,2022,male,0.0,High income,4.0,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Philip S. Yu
3,1611,1611,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine",University of California Irvine,California,US-CA,pub.1152391333,ur.013713520451.96,Dylan,Slack,2022,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Dylan Slack
4,1614,1614,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","University of California, Irvine",California,US-CA,pub.1152391333,ur.012107367245.41,Sameer,Singh,2022,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Sameer Singh
5,1817,1817,Winston-Salem,4499612.0,United States,US,grid.268294.3,Winston-Salem State University,"Department of Computer Science, Winston-Salem State University, Winston-Salem, NC, USA",North Carolina,US-NC,pub.1152145073,ur.010005417615.78,Charles F.,Mickle,2022,male,0.0,High income,4.0,Winston-Salem State University,Winston-Salem State University,Pub 4yr,Public 4yr,HBCU,HBCU,Charles F. Mickle
6,1818,1818,Winston-Salem,4499612.0,United States,US,grid.268294.3,Winston-Salem State University,"Department of Computer Science, Winston-Salem State University, Winston-Salem, NC, USA",North Carolina,US-NC,pub.1152145073,ur.013346074611.27,Debzani,Deb,2022,,,High income,4.0,Winston-Salem State University,Winston-Salem State University,Pub 4yr,Public 4yr,HBCU,HBCU,Debzani Deb
8,1971,1971,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151953573,ur.014176507345.39,Wilson,Lau,2022,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Wilson Lau
9,1972,1972,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151953573,ur.012510425676.18,Kevin,Lybarger,2022,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Kevin Lybarger
10,1973,1973,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Radiology, School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151953573,ur.01361351663.06,Martin L.,Gunn,2022,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Martin L. Gunn
11,1974,1974,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1151953573,ur.0677257144.09,Meliha,Yetisgen,2022,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Meliha Yetisgen
12,3169,3169,San Antonio,4726206.0,United States,US,grid.267309.9,The University of Texas Health Science Center at San Antonio,"Department of Surgery, University of Texas Health Science Center at San Antonio, San Antonio, TX, USA",Texas,US-TX,pub.1150238344,ur.013142624673.10,Aashish,Rajesh,2022,male,0.0,High income,4.0,University of Texas Health Science Center at San Antonio,The University of Texas Health Science Center at San Antonio,Pub 4yr,Public 4yr,HSI,HSI,Aashish Rajesh
13,3190,3190,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","Department of Public Health, University of California, Irvine, CA 92697, USA",California,US-CA,pub.1150184967,ur.016265271641.40,Zichen,Wang,2022,male,0.0,High income,4.0,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Zichen Wang
15,4155,4155,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"University of Illinois, Chicago",Illinois,US-IL,pub.1150860490,ur.016547476062.02,Mia,Cajita,2022,female,1.0,High income,4.0,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Mia Cajita
16,4179,4179,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"University of Minnesota, Twin Cities, MN, USA",Minnesota,US-MN,pub.1148972042,,Tq,Dang,2022,,,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Tq Dang
17,4229,4229,Albuquerque,5454711.0,United States,US,grid.266832.b,University of New Mexico,"Department of Neurosurgery, University of New Mexico, Albuquerque, NM, USA.",New Mexico,US-NM,pub.1149063882,ur.0762343576.92,Christian,Bowers,2022,male,0.0,High income,4.0,University of New Mexico,University of New Mexico-Gallup Campus,Pub 2yr,Public 2yr,HSI,HSI,Christian Bowers
18,4258,4258,Houston,4699066.0,United States,US,grid.266436.3,University of Houston,"University of Houston, Houston, TX, USA",Texas,US-TX,pub.1148972040,ur.01037052126.78,O,Mgbere,2022,,,High income,4.0,University of Houston,University of Houston,Pub 4yr,Public 4yr,AANAPISI & HSI,AANAPISI,O Mgbere
19,4259,4259,Houston,4699066.0,United States,US,grid.266436.3,University of Houston,"University of Houston, Houston, TX, USA",Texas,US-TX,pub.1148972040,ur.012200154637.73,S,Iloanusi,2022,,,High income,4.0,University of Houston,University of Houston,Pub 4yr,Public 4yr,AANAPISI & HSI,AANAPISI,S Iloanusi
20,4262,4262,Houston,4699066.0,United States,US,grid.266436.3,University of Houston,"University of Houston, Houston, TX, USA",Texas,US-TX,pub.1148972040,ur.011264545247.19,S,Gohil,2022,,,High income,4.0,University of Houston,University of Houston,Pub 4yr,Public 4yr,AANAPISI & HSI,AANAPISI,S Gohil
21,4263,4263,Houston,4699066.0,United States,US,grid.266436.3,University of Houston,"University of Houston, Houston, TX, USA",Texas,US-TX,pub.1148972040,ur.0630062456.16,Ej,Essien,2022,male,0.0,High income,4.0,University of Houston,University of Houston,Pub 4yr,Public 4yr,AANAPISI & HSI,AANAPISI,Ej Essien
