,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,year,gender,gender_ints,income_class,income_class_num,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022
6,22,Stanford,5398563.0,United States,US,grid.240952.8,Stanford Medicine,"Department of Biomedical Informatics, Stanford Medicine, Stanford, CA.",California,US-CA,pub.1153678172,ur.016511062353.21,Anne A. H.,de Hond,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
38,105,Mankato,5036420.0,United States,US,grid.260088.4,"Minnesota State University, Mankato","Department of Economics, Minnesota State University, 56001, Mankato, MN, USA",Minnesota,US-MN,pub.1152507484,ur.013140652437.48,Saleheen,Khan,2022,,,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
39,106,Boston,4930956.0,United States,US,,"Panalgo LLC, Boston, MA; Department of Health Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, MA.","Panalgo LLC, Boston, MA; Department of Health Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, MA.",Massachusetts,US-MA,pub.1152754226,,Sara M,Burns,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
40,107,Boston,4930956.0,United States,US,grid.261112.7,Northeastern University,"Panalgo LLC, Boston, MA; Department of Health Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, MA.",Massachusetts,US-MA,pub.1152754226,,Sara M,Burns,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
41,108,Boston,4930956.0,United States,US,,"Panalgo LLC, Boston, MA.","Panalgo LLC, Boston, MA.",Massachusetts,US-MA,pub.1152754226,ur.01120312525.38,Tiffany S,Woodworth,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
42,109,Boston,4930956.0,United States,US,grid.261112.7,Northeastern University,"School of Clinical and Rehabilitation Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, MA.",Massachusetts,US-MA,pub.1152754226,,Zeynep,Icten,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
43,110,Boston,4930956.0,United States,US,grid.261112.7,Northeastern University,"School of Clinical and Rehabilitation Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, MA.",Massachusetts,US-MA,pub.1152754226,ur.013227654173.78,Trenton,Honda,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
44,111,Boston,4930956.0,United States,US,grid.261112.7,Northeastern University,"Department of Health Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, MA.",Massachusetts,US-MA,pub.1152754226,ur.0724472731.19,Justin,Manjourides,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
148,267,Boston,4930956.0,United States,US,grid.62560.37,Brigham and Women's Hospital,"Renal Section, Brigham and Women's Hospital, Boston, MA; Harvard Medical School, Boston, MA; Laboratory for Computational Physiology, Massachusetts Institute of Technology, Cambridge, MA. Electronic address: ergottlieb@bwh.harvard.edu.",Massachusetts,US-MA,pub.1151896263,ur.01074736350.87,Eric R,Gottlieb,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
149,268,Cambridge,4931972.0,United States,US,grid.38142.3c,Harvard University,"Renal Section, Brigham and Women's Hospital, Boston, MA; Harvard Medical School, Boston, MA; Laboratory for Computational Physiology, Massachusetts Institute of Technology, Cambridge, MA. Electronic address: ergottlieb@bwh.harvard.edu.",Massachusetts,US-MA,pub.1151896263,ur.01074736350.87,Eric R,Gottlieb,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
