,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,year,gender,gender_ints,income_class,income_class_num,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022
204,204,Boston,4930956.0,United States,US,,"Department of Epidemiology and Biostatistics, Empower U, X&Y Solutions Inc., Boston, MA, United States","Department of Epidemiology and Biostatistics, Empower U, X&Y Solutions Inc., Boston, MA, United States",Massachusetts,US-MA,pub.1153868821,ur.012114132701.43,Xinglin,Chen,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
214,214,Evanston,4891382.0,United States,US,grid.16753.36,Northwestern University,"Northwestern University, Evanston, USA",Illinois,US-IL,pub.1154887019,ur.012313705220.02,Ye,Xue,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
215,215,Evanston,4891382.0,United States,US,grid.16753.36,Northwestern University,"Northwestern University, Evanston, USA",Illinois,US-IL,pub.1154887019,ur.014450172127.22,Diego,Klabjan,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
216,216,Evanston,4891382.0,United States,US,grid.16753.36,Northwestern University,"Northwestern University, Chicago, USA",Illinois,US-IL,pub.1154887019,ur.0620414424.35,Yuan,Luo,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
230,230,Tempe,5317058.0,United States,US,grid.215654.1,Arizona State University,"Fulton Schools of Engineering, Arizona State University, AZ, USA",Arizona,US-AZ,pub.1154886659,,Tianyi,Zhang,2022,male,0.0,High income,4.0,Arizona State University,Not Minority,Pub 4yr,Not Minority,HSI,Not Minority
234,234,Cambridge,4931972.0,United States,US,grid.66859.34,Broad Institute,"Broad Institute of MIT and Harvard, MA, USA",Massachusetts,US-MA,pub.1154886659,ur.013726704051.84,Dianbo,Liu,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
236,236,Baltimore,4347778.0,United States,US,grid.21107.35,Johns Hopkins University,"Johns Hopkins University School of Medicine, Baltimore, Maryland.",Maryland,US-MD,pub.1153832230,ur.015233373774.53,Kirby D.,Gong,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
237,237,Evanston,4891382.0,United States,US,grid.16753.36,Northwestern University,"Northwestern University, Evanston, Illinois.",Illinois,US-IL,pub.1153832230,ur.010073050433.12,Ryan,Lu,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
238,238,Cambridge,4931972.0,United States,US,grid.116068.8,Massachusetts Institute of Technology,"Massachusetts Institute of Technology, Cambridge, Massachusetts.",Massachusetts,US-MA,pub.1153832230,,Teya S.,Bergamaschi,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
239,239,Baltimore,4347778.0,United States,US,grid.21107.35,Johns Hopkins University,"Johns Hopkins University, Baltimore, Maryland.",Maryland,US-MD,pub.1153832230,ur.012263372033.08,Akaash,Sanyal,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
240,240,Baltimore,4347778.0,United States,US,grid.21107.35,Johns Hopkins University,"Johns Hopkins University, Baltimore, Maryland.",Maryland,US-MD,pub.1153832230,,Joanna,Guo,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
241,241,Baltimore,4347778.0,United States,US,grid.21107.35,Johns Hopkins University,"Johns Hopkins University School of Medicine, Baltimore, Maryland.",Maryland,US-MD,pub.1153832230,,Han B.,Kim,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
242,242,Baltimore,4347778.0,United States,US,grid.21107.35,Johns Hopkins University,"Johns Hopkins University School of Medicine, Baltimore, Maryland.",Maryland,US-MD,pub.1153832230,ur.011334700207.77,Hieu T.,Nguyen,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
243,243,Baltimore,4347778.0,United States,US,grid.21107.35,Johns Hopkins University,"Whiting School of Engineering at Johns Hopkins University, Baltimore, Maryland.",Maryland,US-MD,pub.1153832230,ur.01156224453.36,Joseph L.,Greenstein,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
244,244,Baltimore,4347778.0,United States,US,grid.21107.35,Johns Hopkins University,"Whiting School of Engineering at Johns Hopkins University, Baltimore, Maryland.",Maryland,US-MD,pub.1153832230,ur.01054717420.13,Raimond L.,Winslow,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
245,245,Baltimore,4347778.0,United States,US,grid.21107.35,Johns Hopkins University,"Johns Hopkins University School of Medicine, Baltimore, Maryland.",Maryland,US-MD,pub.1153832230,ur.014550640217.34,Robert D.,Stevens,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
310,310,Houghton,4996572.0,United States,US,grid.259979.9,Michigan Technological University,"Department of Biomedical Engineering, Michigan Technological University, Houghton, MI, 49931, USA",Michigan,US-MI,pub.1153664704,ur.015015555757.99,Jingfeng,Jiang,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
330,330,New York,5128581.0,United States,US,grid.471368.f,Mount Sinai Beth Israel,"Mount Sinai Beth Israel, NY",New York,US-NY,pub.1153655670,ur.012264326624.14,Daisuke,Hasegawa,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
331,331,Rochester,5134086.0,United States,US,grid.412750.5,University of Rochester Medical Center,University of Rochester Medical Center,New York,US-NY,pub.1153655670,,Tetsuro,Maeda,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
332,332,Cleveland,5150529.0,United States,US,grid.239578.2,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH",Ohio,US-OH,pub.1153655670,ur.01344442477.78,Ryota,Sato,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
333,333,Durham,4464368.0,United States,US,grid.26009.3d,Duke University,Duke University School of Medicine,North Carolina,US-NC,pub.1153655160,,Meredith,Cox,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
334,334,Cambridge,4931972.0,United States,US,grid.38142.3c,Harvard University,Harvard Medical School,Massachusetts,US-MA,pub.1153655160,,Man Qing,Liang,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
336,336,Boston,4930956.0,United States,US,grid.32224.35,Massachusetts General Hospital,Massachusetts General Hospital,Massachusetts,US-MA,pub.1153655160,,Marta,Fernandes,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
338,338,Boston,4930956.0,United States,US,grid.239395.7,Beth Israel Deaconess Medical Center,Beth Israel Deaconess Medical Center,Massachusetts,US-MA,pub.1153655160,ur.0633217244.89,Jason,Maley,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
339,339,Boston,4930956.0,United States,US,grid.239395.7,Beth Israel Deaconess Medical Center,"Massachusetts Institute of Technology and Beth Israel Deaconess Medical Center, MA",Massachusetts,US-MA,pub.1153655160,ur.01144416340.69,Leo Anthony,Celi,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
370,370,Houston,4699066.0,United States,US,grid.39382.33,Baylor College of Medicine,Baylor College of Medicine,Texas,US-TX,pub.1153648882,ur.010553261636.84,Deepika,Subramanyam,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
371,371,Houston,4699066.0,United States,US,grid.416975.8,Texas Children's Hospital,"Texas Children’s Hospital/Baylor College of Medicine, TX",Texas,US-TX,pub.1153648882,ur.01036714757.15,Trung,Nguyen,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
372,372,Houston,4699066.0,United States,US,grid.39382.33,Baylor College of Medicine,"Texas Children’s Hospital/Baylor College of Medicine, TX",Texas,US-TX,pub.1153648882,ur.01036714757.15,Trung,Nguyen,2022,male,0.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
373,373,Houston,4699066.0,United States,US,grid.39382.33,Baylor College of Medicine,Baylor College of Medicine,Texas,US-TX,pub.1153648882,ur.014623437252.46,Marina,Martinez-vargas,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
374,374,Houston,4699066.0,United States,US,grid.39382.33,Baylor College of Medicine,"Baylor College of Medicine, TX",Texas,US-TX,pub.1153648882,ur.0756556626.69,Subhashree,Pradhan,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
376,376,Houston,4699066.0,United States,US,grid.39382.33,Baylor College of Medicine,Baylor College of Medicine,Texas,US-TX,pub.1153648882,ur.010472004027.99,Caitlin,Vonderohe,2022,female,1.0,High income,4.0,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority,Not Minority
