PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31965266","Machine learning for the prediction of sepsis: a systematic review and meta-analysis of diagnostic test accuracy","Fleuren LM, Klausch TLT, Zwager CL, Schoonmade LJ, Guo T, Roggeveen LF, Swart EL, Girbes ARJ, Thoral P, Ercole A, Hoogendoorn M, Elbers PWG.","Intensive Care Med. 2020 Mar;46(3):383-400. doi: 10.1007/s00134-019-05872-y. Epub 2020 Jan 21.","Fleuren LM","Intensive Care Med","2020","2020/01/23","PMC7067741","","10.1007/s00134-019-05872-y"
"32204716","Artificial Intelligence in the Intensive Care Unit","Gutierrez G.","Crit Care. 2020 Mar 24;24(1):101. doi: 10.1186/s13054-020-2785-y.","Gutierrez G","Crit Care","2020","2020/03/25","PMC7092485","","10.1186/s13054-020-2785-y"
"31539636","Machine learning for clinical decision support in infectious diseases: a narrative review of current applications","Peiffer-Smadja N, Rawson TM, Ahmad R, Buchard A, Georgiou P, Lescure FX, Birgand G, Holmes AH.","Clin Microbiol Infect. 2020 May;26(5):584-595. doi: 10.1016/j.cmi.2019.09.009. Epub 2019 Sep 17.","Peiffer-Smadja N","Clin Microbiol Infect","2020","2019/09/21","","","10.1016/j.cmi.2019.09.009"
"33287854","Predicting 30-days mortality for MIMIC-III patients with sepsis-3: a machine learning approach using XGboost","Hou N, Li M, He L, Xie B, Wang L, Zhang R, Yu Y, Sun X, Pan Z, Wang K.","J Transl Med. 2020 Dec 7;18(1):462. doi: 10.1186/s12967-020-02620-5.","Hou N","J Transl Med","2020","2020/12/08","PMC7720497","","10.1186/s12967-020-02620-5"
"34376222","Machine learning model for early prediction of acute kidney injury (AKI) in pediatric critical care","Dong J, Feng T, Thapa-Chhetry B, Cho BG, Shum T, Inwald DP, Newth CJL, Vaidya VU.","Crit Care. 2021 Aug 10;25(1):288. doi: 10.1186/s13054-021-03724-0.","Dong J","Crit Care","2021","2021/08/11","PMC8353807","","10.1186/s13054-021-03724-0"
"30274956","Machine learning for real-time prediction of complications in critical care: a retrospective study","Meyer A, Zverinski D, Pfahringer B, Kempfert J, Kuehne T, Sündermann SH, Stamm C, Hofmann T, Falk V, Eickhoff C.","Lancet Respir Med. 2018 Dec;6(12):905-914. doi: 10.1016/S2213-2600(18)30300-X. Epub 2018 Sep 28.","Meyer A","Lancet Respir Med","2018","2018/10/03","","","10.1016/S2213-2600(18)30300-X"
"34722452","A Machine Learning Model for Accurate Prediction of Sepsis in ICU Patients","Wang D, Li J, Sun Y, Ding X, Zhang X, Liu S, Han B, Wang H, Duan X, Sun T.","Front Public Health. 2021 Oct 15;9:754348. doi: 10.3389/fpubh.2021.754348. eCollection 2021.","Wang D","Front Public Health","2021","2021/11/01","PMC8553999","","10.3389/fpubh.2021.754348"
"29286945","An Interpretable Machine Learning Model for Accurate Prediction of Sepsis in the ICU","Nemati S, Holder A, Razmi F, Stanley MD, Clifford GD, Buchman TG.","Crit Care Med. 2018 Apr;46(4):547-553. doi: 10.1097/CCM.0000000000002936.","Nemati S","Crit Care Med","2018","2017/12/30","PMC5851825","NIHMS925069","10.1097/CCM.0000000000002936"
"34079812","Development and Validation of a Machine-Learning Model for Prediction of Extubation Failure in Intensive Care Units","Zhao QY, Wang H, Luo JC, Luo MH, Liu LP, Yu SJ, Liu K, Zhang YJ, Sun P, Tu GW, Luo Z.","Front Med (Lausanne). 2021 May 17;8:676343. doi: 10.3389/fmed.2021.676343. eCollection 2021.","Zhao QY","Front Med (Lausanne)","2021","2021/06/03","PMC8165178","","10.3389/fmed.2021.676343"
"31389839","A Machine Learning Algorithm to Predict Severe Sepsis and Septic Shock: Development, Implementation, and Impact on Clinical Practice","Giannini HM, Ginestra JC, Chivers C, Draugelis M, Hanish A, Schweickert WD, Fuchs BD, Meadows L, Lynch M, Donnelly PJ, Pavan K, Fishman NO, Hanson CW 3rd, Umscheid CA.","Crit Care Med. 2019 Nov;47(11):1485-1492. doi: 10.1097/CCM.0000000000003891.","Giannini HM","Crit Care Med","2019","2019/08/08","PMC8635476","NIHMS1677514","10.1097/CCM.0000000000003891"
"30961662","Machine learning for the prediction of volume responsiveness in patients with oliguric acute kidney injury in critical care","Zhang Z, Ho KM, Hong Y.","Crit Care. 2019 Apr 8;23(1):112. doi: 10.1186/s13054-019-2411-z.","Zhang Z","Crit Care","2019","2019/04/10","PMC6454725","","10.1186/s13054-019-2411-z"
"34404458","Machine learning identifies ICU outcome predictors in a multicenter COVID-19 cohort","Magunia H, Lederer S, Verbuecheln R, Gilot BJ, Koeppen M, Haeberle HA, Mirakaj V, Hofmann P, Marx G, Bickenbach J, Nohe B, Lay M, Spies C, Edel A, Schiefenhövel F, Rahmel T, Putensen C, Sellmann T, Koch T, Brandenburger T, Kindgen-Milles D, Brenner T, Berger M, Zacharowski K, Adam E, Posch M, Moerer O, Scheer CS, Sedding D, Weigand MA, Fichtner F, Nau C, Prätsch F, Wiesmann T, Koch C, Schneider G, Lahmer T, Straub A, Meiser A, Weiss M, Jungwirth B, Wappler F, Meybohm P, Herrmann J, Malek N, Kohlbacher O, Biergans S, Rosenberger P.","Crit Care. 2021 Aug 17;25(1):295. doi: 10.1186/s13054-021-03720-4.","Magunia H","Crit Care","2021","2021/08/18","PMC8370055","","10.1186/s13054-021-03720-4"
"34301649","Prediction model of in-hospital mortality in intensive care unit patients with heart failure: machine learning-based, retrospective analysis of the MIMIC-III database","Li F, Xin H, Zhang J, Fu M, Zhou J, Lian Z.","BMJ Open. 2021 Jul 23;11(7):e044779. doi: 10.1136/bmjopen-2020-044779.","Li F","BMJ Open","2021","2021/07/24","PMC8311359","","10.1136/bmjopen-2020-044779"
"26771782","Multicenter Comparison of Machine Learning Methods and Conventional Regression for Predicting Clinical Deterioration on the Wards","Churpek MM, Yuen TC, Winslow C, Meltzer DO, Kattan MW, Edelson DP.","Crit Care Med. 2016 Feb;44(2):368-74. doi: 10.1097/CCM.0000000000001571.","Churpek MM","Crit Care Med","2016","2016/01/16","PMC4736499","NIHMS753330","10.1097/CCM.0000000000001571"
"33991886","Comparison of machine learning and logistic regression models in predicting acute kidney injury: A systematic review and meta-analysis","Song X, Liu X, Liu F, Wang C.","Int J Med Inform. 2021 Jul;151:104484. doi: 10.1016/j.ijmedinf.2021.104484. Epub 2021 May 8.","Song X","Int J Med Inform","2021","2021/05/15","","","10.1016/j.ijmedinf.2021.104484"
"33780889","An explainable machine learning algorithm for risk factor analysis of in-hospital mortality in sepsis survivors with ICU readmission","Jiang Z, Bo L, Xu Z, Song Y, Wang J, Wen P, Wan X, Yang T, Deng X, Bian J.","Comput Methods Programs Biomed. 2021 Jun;204:106040. doi: 10.1016/j.cmpb.2021.106040. Epub 2021 Mar 7.","Jiang Z","Comput Methods Programs Biomed","2021","2021/03/29","","","10.1016/j.cmpb.2021.106040"
"34897469","Sepsis prediction, early detection, and identification using clinical text for machine learning: a systematic review","Yan MY, Gustad LT, Nytrø Ø.","J Am Med Inform Assoc. 2022 Jan 29;29(3):559-575. doi: 10.1093/jamia/ocab236.","Yan MY","J Am Med Inform Assoc","2022","2021/12/13","PMC8800516","","10.1093/jamia/ocab236"
"35399146","Interpretable Machine Learning for Early Prediction of Prognosis in Sepsis: A Discovery and Validation Study","Hu C, Li L, Huang W, Wu T, Xu Q, Liu J, Hu B.","Infect Dis Ther. 2022 Jun;11(3):1117-1132. doi: 10.1007/s40121-022-00628-6. Epub 2022 Apr 10.","Hu C","Infect Dis Ther","2022","2022/04/11","PMC9124279","","10.1007/s40121-022-00628-6"
"34382940","Development and Validation of Unplanned Extubation Prediction Models Using Intensive Care Unit Data: Retrospective, Comparative, Machine Learning Study","Hur S, Min JY, Yoo J, Kim K, Chung CR, Dykes PC, Cha WC.","J Med Internet Res. 2021 Aug 11;23(8):e23508. doi: 10.2196/23508.","Hur S","J Med Internet Res","2021","2021/08/12","PMC8387891","","10.2196/23508"
"34277655","Machine Learning Prediction Models for Mechanically Ventilated Patients: Analyses of the MIMIC-III Database","Zhu Y, Zhang J, Wang G, Yao R, Ren C, Chen G, Jin X, Guo J, Liu S, Zheng H, Chen Y, Guo Q, Li L, Du B, Xi X, Li W, Huang H, Li Y, Yu Q.","Front Med (Lausanne). 2021 Jul 1;8:662340. doi: 10.3389/fmed.2021.662340. eCollection 2021.","Zhu Y","Front Med (Lausanne)","2021","2021/07/19","PMC8280779","","10.3389/fmed.2021.662340"
"35930309","Predicting renal function recovery and short-term reversibility among acute kidney injury patients in the ICU: comparison of machine learning methods and conventional regression","Zhao X, Lu Y, Li S, Guo F, Xue H, Jiang L, Wang Z, Zhang C, Xie W, Zhu F.","Ren Fail. 2022 Dec;44(1):1326-1337. doi: 10.1080/0886022X.2022.2107542.","Zhao X","Ren Fail","2022","2022/08/05","PMC9359199","","10.1080/0886022X.2022.2107542"
"33035175","Prognostic Assessment of COVID-19 in the Intensive Care Unit by Machine Learning Methods: Model Development and Validation","Pan P, Li Y, Xiao Y, Han B, Su L, Su M, Li Y, Zhang S, Jiang D, Chen X, Zhou F, Ma L, Bao P, Xie L.","J Med Internet Res. 2020 Nov 11;22(11):e23128. doi: 10.2196/23128.","Pan P","J Med Internet Res","2020","2020/10/09","PMC7661105","","10.2196/23128"
"33879214","Novel criteria to classify ARDS severity using a machine learning approach","Sayed M, Riaño D, Villar J.","Crit Care. 2021 Apr 20;25(1):150. doi: 10.1186/s13054-021-03566-w.","Sayed M","Crit Care","2021","2021/04/21","PMC8056190","","10.1186/s13054-021-03566-w"
"34961537","Predictors for extubation failure in COVID-19 patients using a machine learning approach","Fleuren LM, Dam TA, Tonutti M, de Bruin DP, Lalisang RCA, Gommers D, Cremer OL, Bosman RJ, Rigter S, Wils EJ, Frenzel T, Dongelmans DA, de Jong R, Peters M, Kamps MJA, Ramnarain D, Nowitzky R, Nooteboom FGCA, de Ruijter W, Urlings-Strop LC, Smit EGM, Mehagnoul-Schipper DJ, Dormans T, de Jager CPC, Hendriks SHA, Achterberg S, Oostdijk E, Reidinga AC, Festen-Spanjer B, Brunnekreef GB, Cornet AD, van den Tempel W, Boelens AD, Koetsier P, Lens J, Faber HJ, Karakus A, Entjes R, de Jong P, Rettig TCD, Arbous S, Vonk SJJ, Fornasa M, Machado T, Houwert T, Hovenkamp H, Noorduijn Londono R, Quintarelli D, Scholtemeijer MG, de Beer AA, Cinà G, Kantorik A, de Ruijter T, Herter WE, Beudel M, Girbes ARJ, Hoogendoorn M, Thoral PJ, Elbers PWG; Dutch ICU Data Sharing Against Covid-19 Collaborators.","Crit Care. 2021 Dec 27;25(1):448. doi: 10.1186/s13054-021-03864-3.","Fleuren LM","Crit Care","2021","2021/12/28","PMC8711075","","10.1186/s13054-021-03864-3"
"35152879","Machine-learning based prediction of prognostic risk factors in patients with invasive candidiasis infection and bacterial bloodstream infection: a singled centered retrospective study","Li Y, Wu Y, Gao Y, Niu X, Li J, Tang M, Fu C, Qi R, Song B, Chen H, Gao X, Yang Y, Guan X.","BMC Infect Dis. 2022 Feb 13;22(1):150. doi: 10.1186/s12879-022-07125-8.","Li Y","BMC Infect Dis","2022","2022/02/14","PMC8841094","","10.1186/s12879-022-07125-8"
"35612072","Utilizing Intensive Care Alarms for Machine Learning","Flint AR, Klopfenstein SAI, Heeren P, Balzer F, Poncette AS.","Stud Health Technol Inform. 2022 May 25;294:273-274. doi: 10.3233/SHTI220453.","Flint AR","Stud Health Technol Inform","2022","2022/05/25","","","10.3233/SHTI220453"
"29727354","Applying Machine Learning to Pediatric Critical Care Data","Williams JB, Ghosh D, Wetzel RC.","Pediatr Crit Care Med. 2018 Jul;19(7):599-608. doi: 10.1097/PCC.0000000000001567.","Williams JB","Pediatr Crit Care Med","2018","2018/05/05","","","10.1097/PCC.0000000000001567"
"36253026","Machine Learning for Acute Kidney Injury Prediction in the Intensive Care Unit","Gottlieb ER, Samuel M, Bonventre JV, Celi LA, Mattie H.","Adv Chronic Kidney Dis. 2022 Sep;29(5):431-438. doi: 10.1053/j.ackd.2022.06.005.","Gottlieb ER","Adv Chronic Kidney Dis","2022","2022/10/17","PMC9586459","NIHMS1819139","10.1053/j.ackd.2022.06.005"
"35045818","Revealing potential diagnostic gene biomarkers of septic shock based on machine learning analysis","Fan Y, Han Q, Li J, Ye G, Zhang X, Xu T, Li H.","BMC Infect Dis. 2022 Jan 19;22(1):65. doi: 10.1186/s12879-022-07056-4.","Fan Y","BMC Infect Dis","2022","2022/01/20","PMC8772133","","10.1186/s12879-022-07056-4"
"35468910","Artificial intelligence deep learning for 3D IC reliability prediction","Hsu PN, Shie KC, Chen KP, Tu JC, Wu CC, Tsou NT, Lo YC, Chen NY, Hsieh YF, Wu M, Chen C, Tu KN.","Sci Rep. 2022 Apr 25;12(1):6711. doi: 10.1038/s41598-022-08179-z.","Hsu PN","Sci Rep","2022","2022/04/26","PMC9035975","","10.1038/s41598-022-08179-z"
"35148680","Prediction of prognosis in elderly patients with sepsis based on machine learning (random survival forest)","Zhang L, Huang T, Xu F, Li S, Zheng S, Lyu J, Yin H.","BMC Emerg Med. 2022 Feb 11;22(1):26. doi: 10.1186/s12873-022-00582-z.","Zhang L","BMC Emerg Med","2022","2022/02/12","PMC8832779","","10.1186/s12873-022-00582-z"
"30864993","Artificial Intelligence in Critical Care","Mathur P, Burns ML.","Int Anesthesiol Clin. 2019 Spring;57(2):89-102. doi: 10.1097/AIA.0000000000000221.","Mathur P","Int Anesthesiol Clin","2019","2019/03/14","","","10.1097/AIA.0000000000000221"
