,Unnamed: 0.1,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,year,gender,gender_ints,income_class,income_class_num,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022,full_name
0,158,277,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Surgery, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,ur.014370210717.09,Molly J,Douglas,2022,female,1.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Molly J Douglas
2,160,279,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Program in Applied Mathematics, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,,Brian W,Bell,2022,male,0.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Brian W Bell
3,161,280,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Program in Applied Mathematics, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,,Adrienne,Kinney,2022,female,1.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Adrienne Kinney
4,162,281,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Program in Applied Mathematics, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,,Sarah A,Pungitore,2022,female,1.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Sarah A Pungitore
5,163,282,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Program in Applied Mathematics, University of Arizona, Tucson, Arizona, USA",Arizona,US-AZ,pub.1150606290,ur.014424273403.63,Brian P,Toner,2022,male,0.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Brian P Toner
6,396,591,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Computer Science, Rutgers University, Camden, NJ, United States",New Jersey,US-NJ,pub.1148895293,ur.012610176112.83,Iman,Dehzangi,2022,male,0.0,High income,4.0,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Iman Dehzangi
8,487,682,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Surgery, University of Minnesota, Minneapolis, MN",Minnesota,US-MN,pub.1148869195,ur.011742517577.06,Emma K.,Jones,2022,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Emma K. Jones
9,488,683,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Department of Surgery, University of Minnesota, Minneapolis, MN",Minnesota,US-MN,pub.1148869195,ur.01045103044.18,Christopher J.,Tignanelli,2022,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Christopher J. Tignanelli
13,976,1282,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Mechanical and Industrial Engineering, University of Illinois at Chicago, Chicago, IL, 60607, USA",Illinois,US-IL,pub.1139220869,ur.014332254203.03,Julian,Theis,2022,male,0.0,High income,4.0,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Julian Theis
14,977,1283,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Departments of Medicine, Pharmacy Practice, Pharmacy Systems, Outcomes and Policy, University of Illinois at Chicago, Chicago, IL, 60607, USA",Illinois,US-IL,pub.1139220869,ur.0625026752.00,William L.,Galanter,2022,male,0.0,High income,4.0,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,William L. Galanter
15,978,1284,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Biomedical, and Health Information Sciences, University of Illinois at Chicago, Chicago, IL, 60607, USA",Illinois,US-IL,pub.1139220869,ur.01065161445.37,Andrew D.,Boyd,2022,male,0.0,High income,4.0,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Andrew D. Boyd
16,979,1285,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Mechanical and Industrial Engineering, University of Illinois at Chicago, Chicago, IL, 60607, USA",Illinois,US-IL,pub.1139220869,ur.01330452214.54,Houshang,Darabi,2022,male,0.0,High income,4.0,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Houshang Darabi
